,MovieID,Title,Genres,MovieIDm,Year,1,2,3,4,5,n_5_star,n_4_star,n_ratings,WeightedScore
3235,3468,"Hustler, The (1961)",Drama,m3468,1961,1,3,66,197,183,183,197,830,316.6
2882,3098,"Natural, The (1984)",Drama,m3098,1984,7,21,158,233,129,129,233,910,316.4
2082,2273,Rush Hour (1998),Action|Thriller,m2273,1998,17,42,220,265,83,83,265,975,316.0
1016,1088,Dirty Dancing (1987),Musical|Romance,m1088,1987,60,95,223,189,120,120,189,996,315.9
1342,1449,Waiting for Guffman (1996),Comedy,m1449,1996,6,14,70,188,184,184,188,834,315.20000000000005
1241,1339,Bram Stoker's Dracula (1992),Horror|Romance,m1339,1992,41,103,205,230,93,93,230,995,314.5
2656,2863,"Hard Day's Night, A (1964)",Comedy|Musical,m2863,1964,13,33,117,190,165,165,190,873,314.1
3028,3252,Scent of a Woman (1992),Drama,m3252,1992,15,45,134,251,110,110,251,916,313.5
3091,3317,Wonder Boys (2000),Comedy|Drama,m3317,2000,5,29,88,238,136,136,238,870,313.4
2178,2371,Fletch (1985),Comedy,m2371,1985,17,67,176,221,118,118,221,938,312.90000000000003
1021,1093,"Doors, The (1991)",Drama|Musical,m1093,1991,21,78,256,253,72,72,253,1005,312.9
595,610,Heavy Metal (1981),Action|Adventure|Animation|Horror|Sci-Fi,m610,1981,25,70,199,190,134,134,190,942,312.4
3493,3735,Serpico (1973),Crime|Drama,m3735,1973,1,13,105,251,125,125,251,871,312.0
2102,2294,Antz (1998),Animation|Children's,m2294,1998,17,67,231,247,83,83,247,975,310.6
1656,1834,"Spanish Prisoner, The (1997)",Drama|Thriller,m1834,1997,9,29,92,216,147,147,216,856,309.5
283,292,Outbreak (1995),Action|Drama|Thriller,m292,1995,27,108,296,245,57,57,245,1035,309.0
964,1029,Dumbo (1941),Animation|Children's|Musical,m1029,1941,17,35,172,228,116,116,228,912,308.8
786,838,Emma (1996),Comedy|Drama|Romance,m838,1996,15,20,100,241,125,125,241,867,308.20000000000005
2961,3178,"Hurricane, The (1999)",Drama,m3178,1999,12,33,102,235,127,127,235,871,308.20000000000005
1964,2145,Pretty in Pink (1986),Comedy|Drama|Romance,m2145,1986,18,86,275,252,62,62,252,1007,308.0
954,1019,"20,000 Leagues Under the Sea (1954)",Adventure|Children's|Fantasy|Sci-Fi,m1019,1954,8,28,196,238,105,105,238,918,307.5
1134,1224,Henry V (1989),Drama|War,m1224,1989,2,7,53,169,195,195,169,790,306.2
976,1041,Secrets & Lies (1996),Drama,m1041,1996,5,18,96,190,165,165,190,829,305.3
1633,1805,Wild Things (1998),Crime|Drama|Mystery|Thriller,m1805,1998,26,85,192,230,93,93,230,949,305.3
60,62,Mr. Holland's Opus (1995),Drama,m62,1995,21,43,130,232,115,115,232,888,304.70000000000005
2583,2788,And Now for Something Completely Different (1971),Comedy,m2788,1971,1,13,74,198,165,165,198,814,304.70000000000005
224,231,Dumb & Dumber (1994),Comedy,m231,1994,105,83,178,168,126,126,168,954,304.20000000000005
3107,3334,Key Largo (1948),Crime|Drama|Film-Noir|Thriller,m3334,1948,4,4,88,219,146,146,219,826,303.9
2333,2528,Logan's Run (1976),Action|Adventure|Sci-Fi,m2528,1976,11,88,205,240,82,82,240,948,302.6
2332,2527,Westworld (1973),Action|Sci-Fi|Thriller|Western,m2527,1973,32,63,221,245,75,75,245,956,302.20000000000005
2176,2369,Desperately Seeking Susan (1985),Comedy|Romance,m2369,1985,76,184,333,196,51,51,196,1087,301.7
1500,1635,"Ice Storm, The (1997)",Drama,m1635,1997,15,44,105,206,137,137,206,850,300.3
1247,1345,Carrie (1976),Horror,m1345,1976,15,61,160,228,103,103,228,898,299.5
2762,2973,Crimes and Misdemeanors (1989),Comedy,m2973,1989,4,21,86,186,163,163,186,809,299.1
931,994,Big Night (1996),Drama,m994,1996,3,10,83,199,155,155,199,804,298.0
855,916,Roman Holiday (1953),Comedy|Romance,m916,1953,2,14,58,167,184,184,167,776,297.3
1904,2085,101 Dalmatians (1961),Animation|Children's,m2085,1961,16,58,162,231,98,98,231,894,297.1
2201,2394,"Prince of Egypt, The (1998)",Animation|Musical,m2394,1998,15,62,183,215,104,104,215,898,296.1
1833,2013,"Poseidon Adventure, The (1972)",Action|Adventure,m2013,1972,14,73,219,248,68,68,248,938,296.0
1553,1690,Alien: Resurrection (1997),Action|Horror|Sci-Fi,m1690,1997,83,173,265,209,49,49,209,1037,294.6
2855,3070,"Adventures of Buckaroo Bonzai Across the 8th Dimension, The (1984)",Adventure|Comedy|Sci-Fi,m3070,1984,46,85,182,182,116,116,182,909,294.4
1787,1967,Labyrinth (1986),Adventure|Children's|Fantasy,m1967,1986,12,63,161,196,122,122,196,872,294.2
610,628,Primal Fear (1996),Drama|Thriller,m628,1996,2,24,111,233,115,115,233,833,294.0
2793,3005,"Bone Collector, The (1999)",Thriller,m3005,1999,24,81,229,242,64,64,242,946,293.8
1097,1186,"Sex, Lies, and Videotape (1989)",Drama,m1186,1989,9,61,170,220,102,102,220,884,293.8
872,933,To Catch a Thief (1955),Comedy|Romance|Thriller,m933,1955,4,4,89,192,154,154,192,789,292.4
1,2,Jumanji (1995),Adventure|Children's|Fantasy,m2,1995,42,108,266,237,48,48,237,986,292.3
3456,3698,"Running Man, The (1987)",Action|Adventure|Sci-Fi,m3698,1987,29,117,310,228,46,46,228,1004,292.2
3617,3863,"Cell, The (2000)",Sci-Fi|Thriller,m3863,2000,47,96,223,222,70,70,222,950,291.6
3246,3479,Ladyhawke (1985),Adventure|Fantasy|Romance,m3479,1985,7,49,161,222,103,103,222,867,291.5
1956,2137,Charlotte's Web (1973),Animation|Children's,m2137,1973,9,27,129,210,122,122,210,829,289.8
2121,2313,"Elephant Man, The (1980)",Drama,m2313,1980,2,13,101,202,139,139,202,798,289.70000000000005
145,151,Rob Roy (1995),Drama|Romance|War,m151,1995,15,51,163,243,82,82,243,879,289.7
1802,1982,Halloween (1978),Horror,m1982,1978,29,44,114,175,144,144,175,825,289.5
3302,3535,American Psycho (2000),Comedy|Horror|Thriller,m3535,2000,66,108,164,206,86,86,206,922,289.2
3022,3246,Malcolm X (1992),Drama,m3246,1992,10,16,112,209,128,128,209,812,289.1
3462,3704,Mad Max Beyond Thunderdome (1985),Action|Sci-Fi,m3704,1985,32,138,286,210,56,56,210,988,288.6
1165,1257,Better Off Dead... (1985),Comedy,m1257,1985,4,26,108,199,135,135,199,806,288.4
967,1032,Alice in Wonderland (1951),Animation|Children's|Musical,m1032,1951,15,37,151,211,111,111,211,847,288.2
240,247,Heavenly Creatures (1994),Drama|Fantasy|Romance|Thriller,m247,1994,9,32,104,201,131,131,201,809,287.6
2821,3035,Mister Roberts (1955),Comedy|Drama|War,m3035,1955,3,11,63,187,157,157,187,765,287.6
865,926,All About Eve (1950),Drama,m926,1950,5,7,51,157,183,183,157,743,287.2
1394,1513,Romy and Michele's High School Reunion (1997),Comedy,m1513,1997,59,148,298,199,51,51,199,1005,286.2
1913,2094,"Rocketeer, The (1991)",Action|Adventure|Sci-Fi,m2094,1991,42,142,293,212,47,47,212,995,286.1
332,342,Muriel's Wedding (1994),Comedy|Romance,m342,1994,20,36,139,219,104,104,219,841,285.90000000000003
1096,1185,My Left Foot (1989),Drama,m1185,1989,8,20,88,204,133,133,204,790,285.7
1943,2124,"Addams Family, The (1991)",Comedy,m2124,1991,42,111,296,214,51,51,214,979,285.5
548,562,Welcome to the Dollhouse (1995),Comedy|Drama,m562,1995,19,34,99,198,128,128,198,804,284.20000000000005
3351,3591,Mr. Mom (1983),Comedy|Drama,m3591,1983,7,82,246,234,59,59,234,921,283.90000000000003
894,955,Bringing Up Baby (1938),Comedy,m955,1938,8,16,63,137,189,189,137,739,283.4
3647,3893,Nurse Betty (2000),Comedy|Thriller,m3893,2000,25,54,165,245,70,70,245,874,283.3
3072,3298,Boiler Room (2000),Drama,m3298,2000,16,61,206,250,57,57,250,897,282.9
1738,1918,Lethal Weapon 4 (1998),Action|Comedy|Crime|Drama,m1918,1998,59,123,214,211,62,62,211,942,282.7
2344,2539,Analyze This (1999),Comedy,m2539,1999,17,79,226,232,62,62,232,910,282.6
848,909,"Apartment, The (1960)",Comedy|Drama,m909,1960,3,8,71,186,149,149,186,752,280.70000000000005
1727,1907,Mulan (1998),Animation|Children's,m1907,1998,17,30,120,218,105,105,218,813,280.5
3498,3740,Big Trouble in Little China (1986),Action|Comedy,m3740,1986,28,75,184,221,76,76,221,881,280.5
1778,1958,Terms of Endearment (1983),Comedy|Drama,m1958,1983,24,55,153,171,127,127,171,828,280.40000000000003
582,596,Pinocchio (1940),Animation|Children's,m596,1940,11,32,139,204,112,112,204,814,280.0
2755,2966,"Straight Story, The (1999)",Drama,m2966,1999,3,22,78,171,155,155,171,755,279.8
2952,3168,Easy Rider (1969),Adventure|Drama,m3168,1969,12,39,116,199,119,119,199,803,279.8
3443,3685,Prizzi's Honor (1985),Comedy|Drama|Romance,m3685,1985,13,44,181,221,86,86,221,852,279.7
501,515,"Remains of the Day, The (1993)",Drama,m515,1993,7,32,86,191,134,134,191,775,279.3
1182,1274,Akira (1988),Adventure|Animation|Sci-Fi|Thriller,m1274,1988,8,31,97,163,153,153,163,768,279.0
3075,3301,"Whole Nine Yards, The (2000)",Comedy|Crime,m3301,2000,26,72,210,236,58,58,236,896,279.0
1915,2096,Sleeping Beauty (1959),Animation|Children's|Musical,m2096,1959,10,31,157,212,101,101,212,824,278.9
572,586,Home Alone (1990),Children's|Comedy,m586,1990,65,102,244,205,59,59,205,939,278.8
890,951,His Girl Friday (1940),Comedy,m951,1940,3,4,63,148,179,179,148,724,278.70000000000005
1191,1283,High Noon (1952),Western,m1283,1952,5,12,60,155,171,171,155,729,277.8
3303,3536,Keeping the Faith (2000),Comedy|Romance,m3536,2000,9,31,127,229,93,93,229,811,277.40000000000003
1541,1678,"Joy Luck Club, The (1993)",Drama,m1678,1993,7,33,120,188,126,126,188,788,277.0
2976,3196,Stalag 17 (1953),Drama|War,m3196,1953,4,2,57,168,163,163,168,725,276.9
335,345,"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama,m345,1994,17,28,107,194,123,123,194,786,276.9
1566,1711,Midnight in the Garden of Good and Evil (1997),Comedy|Crime|Drama|Mystery,m1711,1997,36,110,207,209,66,66,209,903,276.3
3669,3916,Remember the Titans (2000),Drama,m3916,2000,15,22,76,192,132,132,192,761,275.8
3256,3489,Hook (1991),Adventure|Fantasy,m3489,1991,58,171,255,176,62,62,176,960,275.8
780,832,Ransom (1996),Drama|Thriller,m832,1996,18,54,191,242,59,59,242,865,275.1
3023,3247,Sister Act (1992),Comedy|Crime,m3247,1992,48,110,247,204,57,57,204,927,275.1
2534,2739,"Color Purple, The (1985)",Drama,m2739,1985,16,32,89,177,136,136,177,763,273.7
3311,3545,Cabaret (1972),Musical|War,m3545,1972,13,35,86,157,152,152,157,752,273.5
2484,2688,"General's Daughter, The (1999)",Drama|Thriller,m2688,1999,44,114,284,198,51,51,198,940,272.9
108,112,Rumble in the Bronx (1995),Action|Adventure|Crime,m112,1995,23,55,200,230,62,62,230,862,272.4
308,317,"Santa Clause, The (1994)",Children's|Comedy|Fantasy,m317,1994,43,108,222,219,49,49,219,909,272.0
1456,1587,Conan the Barbarian (1982),Action|Adventure,m1587,1982,30,70,194,185,93,93,185,850,272.0
893,954,Mr. Smith Goes to Washington (1939),Drama,m954,1939,4,5,50,160,164,164,160,707,271.4
1543,1680,Sliding Doors (1998),Drama|Romance,m1680,1998,13,24,110,217,100,100,217,781,271.3
2523,2728,Spartacus (1960),Drama,m2728,1960,3,16,91,176,140,140,176,742,271.2
1279,1378,Young Guns (1988),Action|Comedy|Western,m1378,1988,23,80,171,215,73,73,215,850,271.0
2983,3203,Dead Calm (1989),Thriller,m3203,1989,7,37,140,238,75,75,238,810,270.9
2230,2423,Christmas Vacation (1989),Comedy,m2423,1989,24,52,149,177,113,113,177,805,270.6
420,434,Cliffhanger (1993),Action|Adventure|Crime,m434,1993,52,130,256,204,44,44,204,934,270.0
192,198,Strange Days (1995),Action|Crime|Sci-Fi,m198,1995,34,95,209,192,75,75,192,872,269.5
2240,2433,"Civil Action, A (1998)",Drama,m2433,1998,16,65,254,237,40,40,237,889,268.9
3397,3638,Moonraker (1979),Action|Romance|Sci-Fi,m3638,1979,37,108,251,205,51,51,205,908,268.6
3039,3263,White Men Can't Jump (1992),Comedy,m3263,1992,31,107,276,211,42,42,211,920,268.3
3036,3260,Howards End (1992),Drama,m3260,1992,12,33,135,193,107,107,193,780,267.4
867,928,Rebecca (1940),Romance|Thriller,m928,1940,2,8,60,155,161,161,155,702,267.4
2212,2405,"Jewel of the Nile, The (1985)",Action|Adventure|Comedy|Romance,m2405,1985,33,114,277,208,41,41,208,922,267.3
844,905,It Happened One Night (1934),Comedy,m905,1934,4,2,53,141,174,174,141,689,267.1
2943,3159,Fantasia 2000 (1999),Animation|Children's|Musical,m3159,1999,18,32,104,165,134,134,165,752,266.9
1556,1694,"Apostle, The (1997)",Drama,m1694,1997,14,45,116,177,119,119,177,767,266.0
28,29,"City of Lost Children, The (1995)",Adventure|Sci-Fi,m29,1995,8,25,65,141,164,164,141,708,265.9
2867,3083,All About My Mother (Todo Sobre Mi Madre) (1999),Comedy|Drama,m3083,1999,10,17,60,149,158,158,149,701,263.9
23,24,Powder (1995),Drama|Sci-Fi,m24,1995,46,110,215,192,61,61,192,877,263.5
3043,3267,"Mariachi, El (1992)",Action|Thriller,m3267,1992,10,35,144,201,93,93,201,777,262.2
2704,2912,"Limey, The (1999)",Action|Crime|Drama,m2912,1999,15,40,127,192,100,100,192,766,260.8
649,671,Mystery Science Theater 3000: The Movie (1996),Comedy|Sci-Fi,m671,1996,30,37,96,179,114,114,179,749,260.5
44,45,To Die For (1995),Comedy|Drama,m45,1995,15,87,169,198,75,75,198,817,260.3
157,163,Desperado (1995),Action|Romance|Thriller,m163,1995,17,70,180,195,78,78,195,813,260.1
2806,3019,Drugstore Cowboy (1989),Crime|Drama,m3019,1989,6,25,77,196,112,112,196,724,259.6
2519,2724,Runaway Bride (1999),Comedy|Romance,m2724,1999,54,102,257,186,51,51,186,887,258.7
2634,2841,Stir of Echoes (1999),Thriller,m2841,1999,12,30,150,231,64,64,231,782,257.7
1775,1955,Kramer Vs. Kramer (1979),Drama,m1955,1979,5,25,128,193,101,101,193,746,257.6
639,661,James and the Giant Peach (1996),Animation|Children's|Musical,m661,1996,25,57,169,197,77,77,197,799,257.4
3503,3745,Titan A.E. (2000),Adventure|Animation|Sci-Fi,m3745,2000,37,69,160,191,78,78,191,804,257.1
632,653,Dragonheart (1996),Action|Adventure|Fantasy,m653,1996,37,82,245,202,46,46,202,860,255.6
2446,2648,Frankenstein (1931),Horror,m2648,1931,8,22,85,148,143,143,148,697,255.3
1865,2046,Flight of the Navigator (1986),Adventure|Children's|Sci-Fi,m2046,1986,8,72,188,198,70,70,198,804,255.20000000000002
799,852,Tin Cup (1996),Comedy|Romance,m852,1996,32,86,247,214,36,36,214,865,255.2
977,1042,That Thing You Do! (1996),Comedy,m1042,1996,13,64,182,194,75,75,194,797,255.1
1830,2010,Metropolis (1926),Sci-Fi,m2010,1926,5,17,74,137,155,155,137,680,254.6
2384,2581,Never Been Kissed (1999),Comedy|Romance,m2581,1999,38,104,240,199,43,43,199,866,254.4
1127,1217,Ran (1985),Drama|War,m1217,1985,4,7,48,128,170,170,128,655,254.4
2807,3020,Falling Down (1993),Action|Drama,m3020,1993,23,61,175,186,79,79,186,789,253.10000000000002
3291,3524,Arthur (1981),Comedy|Romance,m3524,1981,19,72,181,186,76,76,186,796,253.0
338,348,Bullets Over Broadway (1994),Comedy,m348,1994,12,34,120,202,87,87,202,744,252.9
3542,3785,Scary Movie (2000),Comedy|Horror,m3785,2000,90,114,179,159,71,71,159,843,251.8
3074,3300,Pitch Black (2000),Action|Sci-Fi,m3300,2000,38,83,158,204,59,59,204,805,251.7
3279,3512,Return to Me (2000),Drama|Romance,m3512,2000,16,32,119,201,86,86,201,741,251.5
510,524,Rudy (1993),Drama,m524,1993,12,46,141,191,86,86,191,753,250.89999999999998
1014,1086,Dial M for Murder (1954),Mystery|Thriller,m1086,1954,1,8,70,181,119,119,181,679,249.60000000000002
3317,3551,Marathon Man (1976),Thriller,m3551,1976,3,13,80,217,87,87,217,704,249.4
2191,2384,Babe: Pig in the City (1998),Children's|Comedy,m2384,1998,56,82,136,152,97,97,152,772,248.5
3274,3507,"Odd Couple, The (1968)",Comedy,m3507,1968,3,5,88,173,120,120,173,682,248.3
3126,3354,Mission to Mars (2000),Sci-Fi,m3354,2000,169,181,277,134,32,32,134,959,248.0
1364,1476,Private Parts (1997),Comedy|Drama,m1476,1997,22,43,169,200,65,65,200,764,245.3
3394,3635,"Spy Who Loved Me, The (1977)",Action,m3635,1977,5,29,183,206,64,64,206,757,245.2
1884,2065,"Purple Rose of Cairo, The (1985)",Comedy|Drama|Romance,m2065,1985,9,39,163,192,76,76,192,747,245.0
1572,1719,"Sweet Hereafter, The (1997)",Drama,m1719,1997,2,19,78,143,139,139,143,663,245.0
2871,3087,Scrooged (1988),Comedy,m3087,1988,9,56,194,193,64,64,193,773,244.50000000000003
3129,3358,Defending Your Life (1991),Comedy|Romance,m3358,1991,13,40,124,168,101,101,168,715,243.9
1205,1297,Real Genius (1985),Comedy,m1297,1985,8,36,124,183,91,91,183,716,243.60000000000002
1031,1103,Rebel Without a Cause (1955),Drama,m1103,1955,3,14,102,175,108,108,175,685,243.5
1366,1479,"Saint, The (1997)",Action|Romance|Thriller,m1479,1997,47,93,189,170,64,64,170,797,242.4
2483,2687,Tarzan (1999),Animation|Children's,m2687,1999,18,35,121,171,97,97,171,710,241.8
1764,1944,From Here to Eternity (1953),Drama|Romance|War,m1944,1953,3,12,64,153,132,132,153,649,241.70000000000002
147,153,Batman Forever (1995),Action|Adventure|Comedy|Crime,m153,1995,125,215,274,139,24,24,139,940,241.7
2346,2541,Cruel Intentions (1999),Drama,m2541,1999,38,94,192,176,59,59,176,794,241.10000000000002
879,940,"Adventures of Robin Hood, The (1938)",Action|Adventure,m940,1938,10,9,75,171,113,113,171,662,240.2
2055,2245,Working Girl (1988),Comedy|Drama,m2245,1988,12,61,182,220,39,39,220,773,240.10000000000002
428,442,Demolition Man (1993),Action|Sci-Fi,m442,1993,60,132,239,171,38,38,171,849,240.10000000000002
1309,1411,Hamlet (1996),Drama,m1411,1996,6,19,79,159,119,119,159,660,239.2
2711,2919,Year of Living Dangerously (1982),Drama|Romance,m2919,1982,5,20,84,184,98,98,184,673,238.79999999999998
3568,3811,Breaker Morant (1980),Drama|War,m3811,1980,1,10,67,155,127,127,155,642,238.4
1414,1537,Shall We Dance? (Shall We Dansu?) (1996),Comedy,m1537,1996,4,4,54,166,122,122,166,638,238.4
3398,3639,"Man with the Golden Gun, The (1974)",Action,m3639,1974,6,27,163,201,64,64,201,726,237.5
1209,1301,Forbidden Planet (1956),Sci-Fi,m1301,1956,8,22,69,146,128,128,146,647,237.2
174,180,Mallrats (1995),Comedy,m180,1995,18,70,109,155,99,99,155,705,237.0
2285,2478,Three Amigos! (1986),Comedy|Western,m2478,1986,51,114,183,159,62,62,159,790,236.7
1953,2134,Weird Science (1985),Comedy,m2134,1985,10,70,186,182,62,62,182,754,236.4
2496,2701,Wild Wild West (1999),Action|Sci-Fi|Western,m2701,1999,314,252,231,89,16,16,89,1007,236.10000000000002
3275,3508,"Outlaw Josey Wales, The (1976)",Western,m3508,1976,4,10,75,153,123,123,153,641,235.60000000000002
1770,1950,In the Heat of the Night (1967),Drama|Mystery,m1950,1967,2,7,55,164,120,120,164,632,235.6
991,1059,William Shakespeare's Romeo and Juliet (1996),Drama|Romance,m1059,1996,35,72,129,152,91,91,152,722,235.5
1087,1175,Delicatessen (1991),Comedy|Sci-Fi,m1175,1991,5,27,68,130,138,138,130,636,235.2
2205,2398,Miracle on 34th Street (1947),Drama,m2398,1947,5,19,88,142,126,126,142,648,235.2
2872,3088,Harvey (1950),Comedy,m3088,1950,2,14,64,146,130,130,146,632,235.2
1249,1347,"Nightmare on Elm Street, A (1984)",Horror,m1347,1984,35,59,107,152,98,98,152,701,234.8
2788,3000,"Princess Mononoke, The (Mononoke Hime) (1997)",Action|Adventure|Animation,m3000,1997,7,12,55,120,151,151,120,616,234.7
2765,2976,Bringing Out the Dead (1999),Drama|Horror,m2976,1999,64,119,155,151,68,68,151,776,234.5
2368,2565,"King and I, The (1956)",Musical,m2565,1956,6,19,71,166,110,110,166,648,234.39999999999998
1044,1120,"People vs. Larry Flynt, The (1996)",Drama,m1120,1996,9,31,151,215,50,50,215,721,233.70000000000002
1083,1171,Bob Roberts (1992),Comedy,m1171,1992,8,34,108,175,90,90,175,680,233.5
297,306,Three Colors: Red (1994),Drama,m306,1994,4,8,51,116,155,155,116,605,233.3
1952,2133,Adventures in Babysitting (1987),Adventure|Comedy,m2133,1987,25,84,207,167,58,58,167,766,232.3
1944,2125,Ever After: A Cinderella Story (1998),Drama|Romance,m2125,1998,10,31,112,178,85,85,178,679,231.70000000000002
3591,3836,Kelly's Heroes (1970),Action|Comedy|War,m3836,1970,5,14,80,187,89,89,187,651,230.8
340,350,"Client, The (1994)",Drama|Mystery|Thriller,m350,1994,12,55,211,193,44,44,193,752,230.3
50,52,Mighty Aphrodite (1995),Comedy,m52,1995,7,39,126,189,70,70,189,690,229.7
3475,3717,Gone in 60 Seconds (2000),Action|Crime,m3717,2000,68,127,180,170,39,39,170,793,229.10000000000002
225,232,Eat Drink Man Woman (1994),Comedy|Drama,m232,1994,3,7,61,165,110,110,165,621,228.7
2227,2420,"Karate Kid, The (1984)",Drama,m2420,1984,14,51,185,201,42,42,201,736,228.5
854,915,Sabrina (1954),Comedy|Romance,m915,1954,4,15,78,161,107,107,161,633,228.4
1009,1081,Victor/Victoria (1982),Comedy|Musical,m1081,1982,11,44,135,154,90,90,154,678,226.79999999999998
2270,2463,Ruthless People (1986),Comedy,m2463,1986,12,56,168,179,60,60,179,714,226.5
3705,3952,"Contender, The (2000)",Drama|Thriller,m3952,2000,9,26,89,181,83,83,181,652,226.2
1153,1245,Miller's Crossing (1990),Drama,m1245,1990,4,13,80,141,120,120,141,619,226.10000000000002
1048,1125,"Return of the Pink Panther, The (1974)",Comedy,m1125,1974,8,27,83,191,76,76,191,652,225.7
92,95,Broken Arrow (1996),Action|Thriller,m95,1996,71,148,236,155,28,28,155,821,224.70000000000002
3509,3752,"Me, Myself and Irene (2000)",Comedy,m3752,2000,79,99,178,151,53,53,151,764,224.60000000000002
538,552,"Three Musketeers, The (1993)",Action|Adventure|Comedy,m552,1993,29,80,201,173,46,46,173,748,224.5
1246,1344,Cape Fear (1962),Film-Noir|Thriller,m1344,1962,4,14,73,185,85,85,185,631,224.2
1208,1300,My Life as a Dog (Mitt liv som hund) (1985),Drama,m1300,1985,5,8,54,130,133,133,130,593,224.10000000000002
1147,1238,Local Hero (1983),Comedy,m1238,1983,6,24,66,123,132,132,123,606,224.10000000000002
2981,3201,Five Easy Pieces (1970),Drama,m3201,1970,8,15,78,143,115,115,143,617,223.8
1336,1441,Benny & Joon (1993),Comedy|Romance,m1441,1993,11,46,187,192,45,45,192,718,223.7
1252,1350,"Omen, The (1976)",Horror,m1350,1976,18,43,98,166,84,84,166,659,223.60000000000002
2650,2857,Yellow Submarine (1968),Animation|Musical,m2857,1968,16,38,99,144,102,102,144,645,223.2
1047,1124,On Golden Pond (1981),Drama,m1124,1981,6,32,123,144,100,100,144,649,223.0
1168,1260,M (1931),Crime|Film-Noir|Thriller,m1260,1931,3,6,37,111,151,151,111,570,222.8
1455,1586,G.I. Jane (1997),Action|Drama|War,m1586,1997,61,96,194,165,41,41,165,763,222.6
2936,3152,"Last Picture Show, The (1971)",Drama,m3152,1971,3,19,73,149,110,110,149,613,222.3
2847,3062,"Longest Day, The (1962)",Action|Drama|War,m3062,1962,5,13,71,161,102,102,161,615,222.3
1458,1589,Cop Land (1997),Crime|Drama|Mystery,m1589,1997,16,62,182,193,39,39,193,724,222.20000000000002
3583,3827,Space Cowboys (2000),Action|Sci-Fi,m3827,2000,22,53,169,188,46,46,188,712,221.8
2853,3068,"Verdict, The (1982)",Drama,m3068,1982,0,10,108,184,77,77,184,640,221.7
2261,2454,"Fly, The (1958)",Horror|Sci-Fi,m2454,1958,31,53,171,163,62,62,163,705,220.9
3041,3265,Hard-Boiled (Lashou shentan) (1992),Action|Crime,m3265,1992,5,12,55,116,139,139,116,582,220.7
1006,1078,Bananas (1971),Comedy|War,m1078,1971,6,20,87,175,84,84,175,631,220.7
3555,3798,What Lies Beneath (2000),Thriller,m3798,2000,27,78,124,181,53,53,181,697,220.2
3455,3697,Predator 2 (1990),Action|Sci-Fi|Thriller,m3697,1990,63,163,248,134,35,35,134,812,220.1
2119,2311,2010 (1984),Mystery|Sci-Fi,m2311,1984,16,54,169,180,51,51,180,701,219.70000000000002
1734,1914,Smoke Signals (1998),Comedy|Drama,m1914,1998,9,23,87,164,89,89,164,625,218.7
981,1047,"Long Kiss Goodnight, The (1996)",Action|Thriller,m1047,1996,17,61,121,165,70,70,165,669,218.3
1024,1096,Sophie's Choice (1982),Drama,m1096,1982,7,21,67,127,122,122,127,593,217.7
1958,2139,"Secret of NIMH, The (1982)",Animation|Children's,m2139,1982,9,17,97,143,103,103,143,615,217.4
2781,2993,Thunderball (1965),Action,m2993,1965,2,25,131,178,68,68,178,650,217.4
2486,2690,"Ideal Husband, An (1999)",Comedy,m2690,1999,9,33,101,170,77,77,170,637,216.9
626,647,Courage Under Fire (1996),Drama|War,m647,1996,7,27,168,193,46,46,193,680,216.9
1185,1277,Cyrano de Bergerac (1990),Action|Drama|Romance,m1277,1990,6,17,95,140,105,105,140,608,216.10000000000002
3599,3844,Steel Magnolias (1989),Drama,m3844,1989,16,46,111,150,85,85,150,643,216.1
653,678,Some Folks Call It a Sling Blade (1993),Drama|Thriller,m678,1993,3,7,43,112,141,141,112,559,215.9
2276,2469,Peggy Sue Got Married (1986),Comedy|Romance,m2469,1986,17,78,200,170,41,41,170,717,214.9
3374,3614,Honeymoon in Vegas (1992),Comedy|Romance,m3614,1992,15,80,245,175,27,27,175,744,214.8
2941,3157,Stuart Little (1999),Children's|Comedy,m3157,1999,39,87,188,169,37,37,169,726,214.4
3033,3257,"Bodyguard, The (1992)",Action|Drama|Romance|Thriller,m3257,1992,75,133,251,139,28,28,139,793,214.3
3426,3668,Romeo and Juliet (1968),Drama|Romance,m3668,1968,4,16,93,136,107,107,136,599,214.10000000000002
265,272,"Madness of King George, The (1994)",Drama,m272,1994,2,35,99,177,70,70,177,630,214.1
3464,3706,Angel Heart (1987),Film-Noir|Mystery|Thriller,m3706,1987,23,71,138,134,82,82,134,664,214.0
3272,3505,No Way Out (1987),Thriller,m3505,1987,3,21,79,167,85,85,167,607,214.0
2852,3067,Women on the Verge of a Nervous Breakdown (1988),Comedy|Drama,m3067,1988,2,22,80,157,92,92,157,602,213.5
2779,2991,Live and Let Die (1973),Action,m2991,1973,4,33,149,181,55,55,181,658,213.39999999999998
2517,2722,Deep Blue Sea (1999),Action|Sci-Fi|Thriller,m2722,1999,72,138,213,144,31,31,144,773,213.3
2978,3198,Papillon (1973),Drama,m3198,1973,1,8,62,149,105,105,149,579,213.0
1206,1298,Pink Floyd - The Wall (1982),Drama|Musical|War,m1298,1982,22,37,96,135,97,97,135,619,212.8
756,802,Phenomenon (1996),Drama|Romance,m802,1996,13,54,131,166,63,63,166,656,212.5
3219,3451,Guess Who's Coming to Dinner (1967),Comedy|Drama,m3451,1967,1,17,85,153,94,94,153,597,212.3
